"Code","market"
"GA0347","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0435","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0440","Columbia:GA"
"GA0439","Savannah-Hinesville-Statesboro, GA CSA"
"GA0039","Savannah-Hinesville-Statesboro, GA CSA"
"GA0504","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0040","Savannah-Hinesville-Statesboro, GA CSA"
"GA0222","Taylor:GA"
"GA0223","Telfair:GA"
"GA0225","Thomas:GA"
"GA0227","Tift:GA"
"GA0228","Toombs:GA"
"GA0112","Gilmer:GA"
"GA0418","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0537","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0300","Richmond:GA"
"GA0277","Savannah-Hinesville-Statesboro, GA CSA"
"GA0096","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0475","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0507","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0473","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0181","Macon-Bibb County--Warner Robins, GA CSA"
"GA0572","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0574","Macon-Bibb County--Warner Robins, GA CSA"
"GA0573","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0582","Dougherty:GA"
"GA0315","Columbus-Auburn-Opelika, GA-AL CSA"
"GA0464","Ben Hill:GA"
"GA0630","Jacksonville-St. Marys-Palatka, FL-GA CSA"
"GA0578","Savannah-Hinesville-Statesboro, GA CSA"
"GA0583","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0538","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0588","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0468","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0564","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0380","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0500","Savannah-Hinesville-Statesboro, GA CSA"
"GA0595","Baldwin:GA"
"GA0478","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0369","Bleckley:GA"
"GA0495","Fannin:GA"
"GA0616","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0310","Brantley:GA"
"GA0608","Glynn:GA"
"GA0571","Burke:GA"
"GA0593","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0556","Columbus-Auburn-Opelika, GA-AL CSA"
"GA0557","Chattanooga-Cleveland-Dalton, TN-GA CSA"
"GA0558","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0528","Greene:GA"
"GA0317","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0604","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0497","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0527","Chattanooga-Cleveland-Dalton, TN-GA CSA"
"GA0529","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0324","Chattanooga-Cleveland-Dalton, TN-GA CSA"
"GA0463","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0343","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0597","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0394","Dooly:GA"
"GA0607","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0521","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0318","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0396","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0372","Colquitt:GA"
"GA0522","Columbia:GA"
"GA0590","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0309","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0469","Crisp:GA"
"GA0599","Chattanooga-Cleveland-Dalton, TN-GA CSA"
"GA0490","Chattanooga-Cleveland-Dalton, TN-GA CSA"
"GA0485","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0284","Savannah-Hinesville-Statesboro, GA CSA"
"GA0501","Decatur:GA"
"GA0399","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0397","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0395","Dodge:GA"
"GA0498","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0467","Coffee:GA"
"GA0446","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0508","Putnam:GA"
"GA0515","Savannah-Hinesville-Statesboro, GA CSA"
"GA0430","Elbert:GA"
"GA0496","Gilmer:GA"
"GA0603","Evans:GA"
"GA0562","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0606","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0581","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0526","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0258","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0379","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0470","Franklin:GA"
"GA0565","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0512","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0481","Savannah-Hinesville-Statesboro, GA CSA"
"GA0560","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0480","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0499","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0456","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0591","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0393","Columbus-Auburn-Opelika, GA-AL CSA"
"GA0320","Hart:GA"
"GA0559","Savannah-Hinesville-Statesboro, GA CSA"
"GA0530","Washington:GA"
"GA0611","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0531","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0613","Jeff Davis:GA"
"GA0596","Jenkins:GA"
"GA0328","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0566","Laurens:GA"
"GA0448","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0329","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0381","Savannah-Hinesville-Statesboro, GA CSA"
"GA0586","Glynn:GA"
"GA0514","Lincoln:GA"
"GA0392","Lowndes:GA"
"GA0373","Lumpkin:GA"
"GA0169","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0533","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0331","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0384","Chattanooga-Cleveland-Dalton, TN-GA CSA"
"GA0429","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0321","Mcduffie:GA"
"GA0313","Chattanooga-Cleveland-Dalton, TN-GA CSA"
"GA0511","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0619","Dooly:GA"
"GA0341","Baldwin:GA"
"GA0432","Savannah-Hinesville-Statesboro, GA CSA"
"GA0386","Mitchell:GA"
"GA0455","Chattanooga-Cleveland-Dalton, TN-GA CSA"
"GA0314","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0621","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0555","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0346","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0628","Columbus-Auburn-Opelika, GA-AL CSA"
"GA0627","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0523","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0524","Savannah-Hinesville-Statesboro, GA CSA"
"GA0312","Rabun:GA"
"GA0426","Randolph:GA"
"GA0336","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0594","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0519","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0462","Richmond:GA"
"GA0517","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0482","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0520","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0460","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0513","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0610","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0577","Savannah-Hinesville-Statesboro, GA CSA"
"GA0539","Seminole:GA"
"GA0541","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0445","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0486","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0487","Richmond:GA"
"GA0488","Savannah-Hinesville-Statesboro, GA CSA"
"GA0128","Berrien:GA"
"GA0563","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0479","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0483","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0370","Savannah-Hinesville-Statesboro, GA CSA"
"GA0449","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0516","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0459","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0319","Gilmer:GA"
"GA0374","Towns:GA"
"GA0322","Sumter:GA"
"GA0345","Terrell:GA"
"GA0375","Union:GA"
"GA0484","Lowndes:GA"
"GA0437","Macon-Bibb County--Warner Robins, GA CSA"
"GA0605","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0477","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0576","Chattanooga-Cleveland-Dalton, TN-GA CSA"
"GA0600","Ware:GA"
"GA0444","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0447","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
"GA0489","Chattanooga-Cleveland-Dalton, TN-GA CSA"
"GA0534","White:GA"
"GA0252","Wilcox:GA"
"GA0376","Wilkes:GA"
"GA0385","Worth:GA"
"HI0029","Honolulu:HI"
"HI0014","Maui:HI"
"HI0119","Maui:HI"
"HI0002","Maui:HI"
"HI0013","Kauai:HI"
"HI0004","Maui:HI"
"HI0080","Maui:HI"
"HI0003","Maui:HI"
"HI0023","Honolulu:HI"
"HI0022","Kauai:HI"
"HI0008","Hawaii:HI"
"HI0018","Honolulu:HI"
"HI0011","Honolulu:HI"
"HI0027","Hawaii:HI"
"HI0086","Maui:HI"
"HI0118","Hawaii:HI"
"HI0049","Kauai:HI"
"HI0030","Hawaii:HI"
"HI0117","Honolulu:HI"
"HI0097","Hawaii:HI"
"HI0032","Hawaii:HI"
"HI0098","Hawaii:HI"
"HI0034","Honolulu:HI"
"HI0073","Honolulu:HI"
"HI0099","Hawaii:HI"
"HI0075","Honolulu:HI"
"HI0033","Honolulu:HI"
"HI0094","Honolulu:HI"
"HI0096","Honolulu:HI"
"HI0093","Honolulu:HI"
"HI0095","Honolulu:HI"
"HI0092","Honolulu:HI"
"HI0100","Hawaii:HI"
"HI0101","Hawaii:HI"
"HI0102","Hawaii:HI"
"HI0010","Honolulu:HI"
"HI0085","Kauai:HI"
"HI0083","Honolulu:HI"
"HI0103","Hawaii:HI"
"HI0104","Hawaii:HI"
"HI0084","Honolulu:HI"
"HI0105","Hawaii:HI"
"HI0106","Hawaii:HI"
"HI0107","Hawaii:HI"
"HI0091","Maui:HI"
"HI0109","Hawaii:HI"
"HI0110","Hawaii:HI"
"HI0111","Hawaii:HI"
"HI0108","Hawaii:HI"
"HI0112","Hawaii:HI"
"HI0116","Hawaii:HI"
"HI0113","Hawaii:HI"
"HI0114","Hawaii:HI"
"HI0115","Hawaii:HI"
"IA0119","Des Moines-Ames-West Des Moines, IA CSA"
"IA0001","Guthrie:IA"
"IA0184","Omaha-Council Bluffs-Fremont, NE-IA CSA"
"IA0006","Cedar Rapids-Iowa City, IA CSA"
"IA0007","Black Hawk:IA"
"IA0065","Cedar Rapids-Iowa City, IA CSA"
"IA0064","Cedar Rapids-Iowa City, IA CSA"
"IA0010","Des Moines-Ames-West Des Moines, IA CSA"
"IA0012","Bremer:IA"
"IA0019","Carroll:IA"
"IA0020","Cass:IA"
"IA0112","Winnebago:IA"
"IA0023","Cherokee:IA"
"IA0101","Sioux:IA"
"IA0057","Des Moines-Ames-West Des Moines, IA CSA"
"IA0026","Clarke:IA"
"IA0029","Davenport-Moline, IA-IL CSA"
"IA0030","Crawford:IA"
"IA0036","Burlington-Fort Madison-Keokuk, IA-IL-MO CSA"
"IA0038","Dickinson:IA"
"IA0039","Dubuque:IA"
"IA0042","Fayette:IA"
"IA0074","Howard:IA"
"IA0044","Fremont:IA"
"IA0050","Omaha-Council Bluffs-Fremont, NE-IA CSA"
"IA0058","Cedar Rapids-Iowa City, IA CSA"
"IA0055","Iowa:IA"
"IA0022","Cerro Gordo:IA"
"IA0062","Burlington-Fort Madison-Keokuk, IA-IL-MO CSA"
"IA0070","Des Moines-Ames-West Des Moines, IA CSA"
"IA0072","Marshall:IA"
"IA0085","Des Moines-Ames-West Des Moines, IA CSA"
"IA0011","Des Moines-Ames-West Des Moines, IA CSA"
"IA0073","Omaha-Council Bluffs-Fremont, NE-IA CSA"
"IA0075","Monona:IA"
"IA0077","Montgomery:IA"
"IA0078","Davenport-Moline, IA-IL CSA"
"IA0111","Webster:IA"
"IA0082","Palo Alto:IA"
"IA0100","Obrien:IA"
"IA0109","Wapello:IA"
"IA0080","Page:IA"
"IA0083","Plymouth:IA"
"IA0048","Hardin:IA"
"IA0097","Sac:IA"
"IA0098","Davenport-Moline, IA-IL CSA"
"IA0099","Shelby:IA"
"IA0069","Des Moines-Ames-West Des Moines, IA CSA"
"IA0071","Des Moines-Ames-West Des Moines, IA CSA"
"IA0032","Des Moines-Ames-West Des Moines, IA CSA"
"IA0060","Keokuk:IA"
"IA0105","Tama:IA"
"IA0033","Decatur:IA"
"IA0113","Winneshiek:IA"
"IA0287","Cedar Rapids-Iowa City, IA CSA"
"IA0250","Allamakee:IA"
"IA0301","Audubon:IA"
"IA0303","Dubuque:IA"
"IA0067","Des Moines-Ames-West Des Moines, IA CSA"
"IA0151","Buena Vista:IA"
"IA0017","Butler:IA"
"IA0163","Jackson:IA"
"IA0090","Des Moines-Ames-West Des Moines, IA CSA"
"IA0251","Cass:IA"
"IA0021","Cedar:IA"
"IA0143","Cedar Rapids-Iowa City, IA CSA"
"IA0288","Cedar Rapids-Iowa City, IA CSA"
"IA0149","Black Hawk:IA"
"IA0024","Cherokee:IA"
"IA0310","Black Hawk:IA"
"IA0308","Cedar Rapids-Iowa City, IA CSA"
"IA0311","Union:IA"
"IA0290","Cedar Rapids-Iowa City, IA CSA"
"IA0309","Henry:IA"
"IA0289","Davenport-Moline, IA-IL CSA"
"IA0325","Des Moines-Ames-West Des Moines, IA CSA"
"IA0009","Black Hawk:IA"
"IA0258","Poweshiek:IA"
"IA0027","Clay:IA"
"IA0195","Davenport-Moline, IA-IL CSA"
"IA0153","Davenport-Moline, IA-IL CSA"
"IA0321","Jefferson:IA"
"IA0295","Omaha-Council Bluffs-Fremont, NE-IA CSA"
"IA0302","Crawford:IA"
"IA0239","Davenport-Moline, IA-IL CSA"
"IA0180","Des Moines-Ames-West Des Moines, IA CSA"
"IA0280","Dubuque:IA"
"IA0041","Emmet:IA"
"IA0314","Fayette:IA"
"IA0284","Floyd:IA"
"IA0170","Burlington-Fort Madison-Keokuk, IA-IL-MO CSA"
"IA0315","Grundy:IA"
"IA0161","Des Moines-Ames-West Des Moines, IA CSA"
"IA0255","Dickinson:IA"
"IA0293","Hamilton:IA"
"IA0265","Omaha-Council Bluffs-Fremont, NE-IA CSA"
"IA0324","Cedar Rapids-Iowa City, IA CSA"
"IA0150","Buchanan:IA"
"IA0291","Des Moines-Ames-West Des Moines, IA CSA"
"IA0320","Cedar Rapids-Iowa City, IA CSA"
"IA0160","Floyd:IA"
"IA0304","Cedar Rapids-Iowa City, IA CSA"
"IA0063","Burlington-Fort Madison-Keokuk, IA-IL-MO CSA"
"IA0299","Kossuth:IA"
"IA0135","Louisa:IA"
"IA0252","Cerro Gordo:IA"
"IA0093","Des Moines-Ames-West Des Moines, IA CSA"
"IA0087","Des Moines-Ames-West Des Moines, IA CSA"
"IA0292","Des Moines-Ames-West Des Moines, IA CSA"
"IA0141","Marshall:IA"
"IA0120","Monona:IA"
"IA0305","Montgomery:IA"
"IA0316","Davenport-Moline, IA-IL CSA"
"IA0312","Davenport-Moline, IA-IL CSA"
"IA0136","Davenport-Moline, IA-IL CSA"
"IA0191","Webster:IA"
"IA0138","Wapello:IA"
"IA0322","Palo Alto:IA"
"IA0133","Plymouth:IA"
"IA0084","Pocahontas:IA"
"IA0095","Omaha-Council Bluffs-Fremont, NE-IA CSA"
"IA0096","Poweshiek:IA"
"IA0300","Union:IA"
"IA0298","Appanoose:IA"
"IA0257","Des Moines-Ames-West Des Moines, IA CSA"
"IA0139","Sac:IA"
"IA0279","Davenport-Moline, IA-IL CSA"
"IA0137","Shelby:IA"
"IA0313","Woodbury:IA"
"IA0319","Woodbury:IA"
"IA0256","Howard:IA"
"IA0146","Van Buren:IA"
"IA0286","Cedar Rapids-Iowa City, IA CSA"
"IA0318","Davis:IA"
"IA0164","Jefferson:IA"
"IA0166","Keokuk:IA"
"IA0285","Henry:IA"
"IA0196","Burlington-Fort Madison-Keokuk, IA-IL-MO CSA"
"IA0306","Woodbury:IA"
"IA0117","Wright:IA"
"ID0118","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0020","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0004","Bannock:ID"
"ID0071","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0058","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0231","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0068","Boundary:ID"
"ID0279","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0042","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0069","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0043","Caribou:ID"
"ID0060","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0017","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0053","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0044","Franklin:ID"
"ID0050","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0051","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0021","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0013","Adams:ID"
"ID0035","Twin Falls:ID"
"ID0005","Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
"ID0011","Pullman-Moscow, WA-ID CSA"
"ID0054","Lemhi:ID"
"ID0063","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0037","Bannock:ID"
"ID0078","Cassia:ID"
"ID0039","Bear Lake:ID"
"ID0023","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0014","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0046","Power:ID"
"ID0282","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0251","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0257","Clark:ID"
"ID0297","Valley:ID"
"ID0009","Idaho:ID"
"ID0269","Cassia:ID"
"ID0268","Cassia:ID"
"ID0080","Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
"ID0290","Benewah:ID"
"ID0098","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0187","Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
"ID0136","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0022","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0270","Blaine:ID"
"ID0103","Caribou:ID"
"ID0085","Custer:ID"
"ID0247","Blaine:ID"
"ID0248","Clearwater:ID"
"ID0086","Bonner:ID"
"ID0272","Bonner:ID"
"ID0273","Bonner:ID"
"ID0107","Nez Perce:ID"
"ID0096","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0300","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0101","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0280","Bonner:ID"
"ID0283","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0301","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0081","Bonner:ID"
"ID0157","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0162","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0084","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0265","Jerome:ID"
"ID0100","Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
"ID0286","Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
"ID0288","Pullman-Moscow, WA-ID CSA"
"ID0168","Nez Perce:ID"
"ID0012","Nez Perce:ID"
"ID0299","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0294","Custer:ID"
"ID0079","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0171","Twin Falls:ID"
"ID0172","Cassia:ID"
"ID0267","Cassia:ID"
"ID0295","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0263","Minidoka:ID"
"ID0173","Pullman-Moscow, WA-ID CSA"
"ID0287","Pullman-Moscow, WA-ID CSA"
"ID0174","Clearwater:ID"
"ID0277","Adams:ID"
"ID0284","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0176","Shoshone:ID"
"ID0266","Cassia:ID"
"ID0271","Blaine:ID"
"ID0177","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0189","Gooding:ID"
"ID0104","Power:ID"
"ID0190","Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
"ID0285","Bonner:ID"
"ID0298","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0289","Shoshone:ID"
"ID0264","Lincoln:ID"
"ID0083","Lewis:ID"
"ID0193","Custer:ID"
"ID0275","Teton:ID"
"ID0303","Clearwater:ID"
"ID0074","Twin Falls:ID"
"ID0291","Bonner:ID"
"ID0082","Idaho:ID"
"ID0296","Washington:ID"
"ID0278","Washington:ID"
"ID0102","Gooding:ID"
"ID0262","Twin Falls:ID"
"ID0227","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0229","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0077","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0225","Idaho Falls-Rexburg-Blackfoot, ID CSA"
"ID0228","Boise City-Mountain Home-Ontario, ID-OR CSA"
"ID0127","Bannock:ID"
"ID0222","Bonner:ID"
"IL0096","Bloomington-Pontiac, IL CSA"
"IL0297","Rockford-Freeport-Rochelle, IL CSA"
"IL0082","Macon:IL"
"IL0066","Chicago-Naperville, IL-IN-WI CSA"
"IL0136","Vermilion:IL"
"IL0176","Dewitt:IL"
"IL0254","St. Louis-St. Charles-Farmington, MO-IL CSA"
"IL0067","Chicago-Naperville, IL-IN-WI CSA"
"IL0056","Jackson:IL"
"IL0035","Chicago-Naperville, IL-IN-WI CSA"
"IL0093","Mcdonough:IL"
"IL0048","Chicago-Naperville, IL-IN-WI CSA"
"IL0013","Springfield-Jacksonville-Lincoln, IL CSA"
"IL0110","Pike:IL"
"IL0214","Vermilion:IL"
"IL0132","Tazewell:IL"
"IL0064","Oneida:IL"
"IL0430","Chicago-Naperville, IL-IN-WI CSA"
"IL0065","Chicago-Naperville, IL-IN-WI CSA"
"IL0032","Chicago-Naperville, IL-IN-WI CSA"
"IL0069","Chicago-Naperville, IL-IN-WI CSA"
"IL0290","Chicago-Naperville, IL-IN-WI CSA"
"IL0191","Effingham:IL"
"IL0155","Chicago-Naperville, IL-IN-WI CSA"
"IL0296","Dixon-Sterling, IL CSA"
"IL0100","Montgomery:IL"
"IL0077","Bloomington-Pontiac, IL CSA"
"IL0125","St. Louis-St. Charles-Farmington, MO-IL CSA"
"IL0483","St. Louis-St. Charles-Farmington, MO-IL CSA"
"IL0157","Peoria:IL"
"IL0361","Perry:IL"
"IL0055","Dixon-Sterling, IL CSA"
"IL0408","Chicago-Naperville, IL-IN-WI CSA"
"IL0118","Davenport-Moline, IA-IL CSA"
"IL0103","Rockford-Freeport-Rochelle, IL CSA"
"IL0088","St. Louis-St. Charles-Farmington, MO-IL CSA"
"IL0120","Springfield-Jacksonville-Lincoln, IL CSA"
"IL0202","Fulton:IL"
"IL0234","Lawrence:IL"
"IL0117","Davenport-Moline, IA-IL CSA"
"IL0362","Franklin:IL"
"IL0150","Rockford-Freeport-Rochelle, IL CSA"
"IL0024","Chicago-Naperville, IL-IN-WI CSA"
"IL0427","Chicago-Naperville, IL-IN-WI CSA"
"IL0467","Coles:IL"
"IL0163","Chicago-Naperville, IL-IN-WI CSA"
"IL0289","Chicago-Naperville, IL-IN-WI CSA"
"IL0270","Chicago-Naperville, IL-IN-WI CSA"
"IL0271","Chicago-Naperville, IL-IN-WI CSA"
"IL0315","Rockford-Freeport-Rochelle, IL CSA"
"IL0496","Bloomington-Pontiac, IL CSA"
"IL0497","Peoria:IL"
"IL0241","Chicago-Naperville, IL-IN-WI CSA"
"IL0279","Chicago-Naperville, IL-IN-WI CSA"
"IL0368","Chicago-Naperville, IL-IN-WI CSA"
"IL0379","Chicago-Naperville, IL-IN-WI CSA"
"IL0250","Chicago-Naperville, IL-IN-WI CSA"
"IL0382","Springfield-Jacksonville-Lincoln, IL CSA"
"IL0444","Williamson:IL"
"IL0262","Chicago-Naperville, IL-IN-WI CSA"
"IL0367","Chicago-Naperville, IL-IN-WI CSA"
"IL0418","St. Louis-St. Charles-Farmington, MO-IL CSA"
"IL0317","Bloomington-Pontiac, IL CSA"
"IL0221","Bloomington-Pontiac, IL CSA"
"IL0451","Chicago-Naperville, IL-IN-WI CSA"
"IL0490","Chicago-Naperville, IL-IN-WI CSA"
"IL0410","Chicago-Naperville, IL-IN-WI CSA"
"IL0369","Chicago-Naperville, IL-IN-WI CSA"
"IL0385","Chicago-Naperville, IL-IN-WI CSA"
"IL0446","Champaign:IL"
"IL0235","Chicago-Naperville, IL-IN-WI CSA"
"IL0298","Chicago-Naperville, IL-IN-WI CSA"
"IL0306","Warren:IL"
"IL0313","Washington:IL"
"IL0417","Dewitt:IL"
"IL0484","Chicago-Naperville, IL-IN-WI CSA"
"IL0494","Chicago-Naperville, IL-IN-WI CSA"
"IL0307","Macon:IL"
"IL0392","Chicago-Naperville, IL-IN-WI CSA"
"IL0415","Chicago-Naperville, IL-IN-WI CSA"
"IL0299","Chicago-Naperville, IL-IN-WI CSA"
"IL0242","Chicago-Naperville, IL-IN-WI CSA"
"IL0434","Davenport-Moline, IA-IL CSA"
