"Code","market"
"AL0410","Scottsboro-Fort Payne, AL CSA"
"AL0172","Clarke:AL"
"AL0174","Clarke:AL"
"AL0052","Scottsboro-Fort Payne, AL CSA"
"AL0184","Montgomery-Selma-Alexander City, AL CSA"
"AL0474","Birmingham-Hoover-Talladega, AL CSA"
"AL0088","Birmingham-Hoover-Talladega, AL CSA"
"AL0022","Colbert:AL"
"AL0422","Dothan-Ozark, AL CSA"
"AL0411","Montgomery-Selma-Alexander City, AL CSA"
"AL0437","Birmingham-Hoover-Talladega, AL CSA"
"AL0308","Tuscaloosa:AL"
"AL0216","Birmingham-Hoover-Talladega, AL CSA"
"AL0215","Birmingham-Hoover-Talladega, AL CSA"
"AL0408","Calhoun:AL"
"AL0122","Pensacola-Ferry Pass, FL-AL CSA"
"AL0385","Pike:AL"
"AL0116","Birmingham-Hoover-Talladega, AL CSA"
"AL0480","Mobile-Daphne-Fairhope, AL CSA"
"AL0425","Macon:AL"
"AL0311","Birmingham-Hoover-Talladega, AL CSA"
"AL0097","Mobile-Daphne-Fairhope, AL CSA"
"AL0446","Mobile-Daphne-Fairhope, AL CSA"
"AL0409","Birmingham-Hoover-Talladega, AL CSA"
"AL0038","Montgomery-Selma-Alexander City, AL CSA"
"AL0101","Winston:AL"
"AL0499","Birmingham-Hoover-Talladega, AL CSA"
"AL0414","Clay:AL"
"AL0405","Covington:AL"
"AL0441","Huntsville-Decatur, AL CSA"
"AL0345","Mobile-Daphne-Fairhope, AL CSA"
"AL0466","Birmingham-Hoover-Talladega, AL CSA"
"AL0375","Birmingham-Hoover-Talladega, AL CSA"
"AL0372","Birmingham-Hoover-Talladega, AL CSA"
"AL0402","Birmingham-Hoover-Talladega, AL CSA"
"AL0134","Calhoun:AL"
"AL0494","Mobile-Daphne-Fairhope, AL CSA"
"AL0360","Montgomery-Selma-Alexander City, AL CSA"
"AL0377","Coffee:AL"
"AL0346","Clarke:AL"
"AL0031","Dothan-Ozark, AL CSA"
"AL0487","Columbus-Auburn-Opelika, GA-AL CSA"
"AL0380","Barbour:AL"
"AL0364","Mobile-Daphne-Fairhope, AL CSA"
"AL0381","Fayette:AL"
"AL0358","Lauderdale:AL"
"AL0468","Etowah:AL"
"AL0447","Butler:AL"
"AL0505","Dothan-Ozark, AL CSA"
"AL0352","Barbour:AL"
"AL0444","Huntsville-Decatur, AL CSA"
"AL0403","Birmingham-Hoover-Talladega, AL CSA"
"AL0506","Lauderdale:AL"
"AL0481","Marengo:AL"
"AL0404","Marion:AL"
"AL0443","Marshall:AL"
"AL0452","Birmingham-Hoover-Talladega, AL CSA"
"AL0355","Mobile-Daphne-Fairhope, AL CSA"
"AL0442","Mobile-Daphne-Fairhope, AL CSA"
"AL0488","Mobile-Daphne-Fairhope, AL CSA"
"AL0397","Montgomery-Selma-Alexander City, AL CSA"
"AL0406","Columbus-Auburn-Opelika, GA-AL CSA"
"AL0371","Pickens:AL"
"AL0362","Randolph:AL"
"AL0485","Huntsville-Decatur, AL CSA"
"AL0473","Columbus-Auburn-Opelika, GA-AL CSA"
"AL0330","Montgomery-Selma-Alexander City, AL CSA"
"AL0467","Colbert:AL"
"AL0379","Birmingham-Hoover-Talladega, AL CSA"
"AL0470","Huntsville-Decatur, AL CSA"
"AL0453","Birmingham-Hoover-Talladega, AL CSA"
"AL0356","Calhoun:AL"
"AL0354","Dothan-Ozark, AL CSA"
"AL0471","Montgomery-Selma-Alexander City, AL CSA"
"AL0472","Tuscaloosa:AL"
"AL0378","Montgomery-Selma-Alexander City, AL CSA"
"AL0376","Lauderdale:AL"
"AR0007","Mississippi:AR"
"AR0094","Mississippi:AR"
"AR0001","Ashley:AR"
"AR0082","Bradley:AR"
"AR0009","Calhoun:AR"
"AR0142","Little Rock-North Little Rock, AR CSA"
"AR0117","Sharp:AR"
"AR0014","Chicot:AR"
"AR0010","Ouachita:AR"
