"market","Operator_Code","count","total_waste"
"Albuquerque-Santa Fe-Las Vegas, NM CSA","CITY OF ALBUQUERQUE",5,1740.6
"Albuquerque-Santa Fe-Las Vegas, NM CSA","CITY OF ALBUQUERQUE IPF",1,23
"Albuquerque-Santa Fe-Las Vegas, NM CSA","CITY OF LAS VEGAS",1,40.26
"Albuquerque-Santa Fe-Las Vegas, NM CSA","ESTANCIA VALLEY SOLID WASTE AUTHORITY",8,130.71
"Albuquerque-Santa Fe-Las Vegas, NM CSA","FRIEDMAN RECYCLING",1,462
"Albuquerque-Santa Fe-Las Vegas, NM CSA","GREEN GROUP HOLDINGS",1,92.03
"Albuquerque-Santa Fe-Las Vegas, NM CSA","LOS ALAMOS COUNTY",3,210.37
"Albuquerque-Santa Fe-Las Vegas, NM CSA","LOS ANGELES DE LA CA±ADA LANDFILL",1,1.85
"Albuquerque-Santa Fe-Las Vegas, NM CSA","MASTER FIBERS",1,100.59
"Albuquerque-Santa Fe-Las Vegas, NM CSA","MCKINLEY FIBER",1,235.53
"Albuquerque-Santa Fe-Las Vegas, NM CSA","MORA COUNTY",1,5.76
"Albuquerque-Santa Fe-Las Vegas, NM CSA","NORTH CENTRAL SOLID WASTE AUTHORITY",4,23.09
"Albuquerque-Santa Fe-Las Vegas, NM CSA","R&R SOLUTIONS",1,14.21
"Albuquerque-Santa Fe-Las Vegas, NM CSA","ROAD RUNNER WASTE SERVICE",1,6.24
"Albuquerque-Santa Fe-Las Vegas, NM CSA","SAN MIGUEL COUNTY",7,8.76
"Albuquerque-Santa Fe-Las Vegas, NM CSA","SANDOVAL COUNTY",4,448.45
"Albuquerque-Santa Fe-Las Vegas, NM CSA","SANTA FE COUNTY",8,45.93
"Albuquerque-Santa Fe-Las Vegas, NM CSA","SANTA FE SOLID WASTE MANAGEMENT AGENCY",2,531.44
"Albuquerque-Santa Fe-Las Vegas, NM CSA","SOUTHWEST LANDFILL",1,267.81
"Albuquerque-Santa Fe-Las Vegas, NM CSA","TORRANCE COUNTY",1,2.83
"Albuquerque-Santa Fe-Las Vegas, NM CSA","UNIVERSITY OF NEW MEXICO RECYCLING CENTER",1,35.3
"Albuquerque-Santa Fe-Las Vegas, NM CSA","VALENCIA COUNTY",1,16.91
"Albuquerque-Santa Fe-Las Vegas, NM CSA","VILLAGE OF LOS LUNAS",1,42.4
"Albuquerque-Santa Fe-Las Vegas, NM CSA","VILLAGE OF WAGON MOUND",1,0.85
"Albuquerque-Santa Fe-Las Vegas, NM CSA","WISE RECYCLING",8,85.35
"Albuquerque-Santa Fe-Las Vegas, NM CSA","WM",3,1149.56
"Albuquerque-Santa Fe-Las Vegas, NM CSA","WOOD YOU RECYCLE!",1,0
"Alcona:MI","ALCONA REFUSE TRANSFER STATION",1,0
"Aleutians East:AK","CITY OF SAND POINT",1,2
"Aleutians West:AK","CITY OF UNALASKA",1,28
"Alexander:NC","ALEXANDER COUNTY",1,60.96
"Alger:MI","GREAT AMERICAN DISPOSAL",1,170.95
"Allamakee:IA","ALLAMAKEE COUNTY SOLID WASTE AGENCY",1,2.24
"Allegany:MD","AIGH",1,82.22
"Allegany:MD","WM",1,183.68
"Allegany:NY","ALLEGANY COUNTY",7,222.07
"Allegany:NY","CWST",1,1112.67
"Alleghany:NC","ALLEGHANY COUNTY",1,55.45
"Allen:KS","ALLEN COUNTY",1,106.09
"Allen:LA","WCNX",1,616.66
"Alpena:MI","MOASWM AUTHORITY RESOURCE RECOVERY",1,30
"Alpine:CA","KIRKWOOD MEADOWS PUD",1,5
"Altoona-Huntingdon, PA CSA","J&J RECYCLING",1,1.7
"Altoona-Huntingdon, PA CSA","PARK'S GARBAGE SERVICE",1,63
"Altoona-Huntingdon, PA CSA","WM",1,150
"Amador:CA","ACES WASTE SERVICES",2,73
"Amarillo-Pampa-Borger, TX CSA","ARMSTRONG COUNTY",1,89.51
"Amarillo-Pampa-Borger, TX CSA","CITY OF AMARILLO",1,751.09
"Amarillo-Pampa-Borger, TX CSA","CITY OF BORGER",1,63.71
"Amarillo-Pampa-Borger, TX CSA","CITY OF MCLEAN",1,2.71
"Amarillo-Pampa-Borger, TX CSA","CITY OF PAMPA",1,183.85
"Amarillo-Pampa-Borger, TX CSA","CITY OF PANHANDLE",1,16.6
"Amarillo-Pampa-Borger, TX CSA","HUTCHINSON COUNTY",1,0
"Amarillo-Pampa-Borger, TX CSA","K B PARTS",1,0.93
"Amarillo-Pampa-Borger, TX CSA","REPUB",2,650.8
"Amelia:VA","WM",1,3658.67
"Amherst:VA","SANTK",1,85.93
"Amherst:VA","SON",1,300
"Amite:MS","AMITE COUNTY",2,13.59
"Anchorage:AK","MUNICIPALITY OF ANCHORAGE",3,1478.37
"Anchorage:AK","ROCK",1,98
"Anderson:KS","ANDERSON COUNTY",2,11.01
"Anderson:KS","LINN COUNTY",1,0
"Anderson:TX","ANDERSON COUNTY",1,2.96
"Anderson:TX","WCNX",1,168.88
"Andrews:TX","CITY OF ANDREWS",1,44.28
"Angelina:TX","ANGELINA COUNTY",1,320.49
"Antelope:NE","CITY OF NELIGH",1,12.5
"Antrim:MI","VILLAGE OF CENTRAL LAKE",1,10
"Apache:AZ","BLUE HILLS ENVIRONMENTAL ASSOCIATION",7,295.27
"Appanoose:IA","SOUTH CENTRAL IOWA SOLID WASTE AGENCY",1,32.56
"Appleton-Oshkosh-Neenah, WI CSA","AIGH",2,3403.98
"Appleton-Oshkosh-Neenah, WI CSA","CARAU",1,63
"Appleton-Oshkosh-Neenah, WI CSA","LANDFILL REDUCTION&RECYCLING",1,300
"Appleton-Oshkosh-Neenah, WI CSA","OUTAGAMIE COUNTY",2,2941.11
"Appleton-Oshkosh-Neenah, WI CSA","WINNEBAGO COUNTY",2,59.18
"Appleton-Oshkosh-Neenah, WI CSA","WM",1,420
"Appomattox:VA","APPOMATTOX COUNTY",2,14.41
"Archer:TX","CITY OF LAMPASAS SANITARY LANDFILL",1,1.17
"Archuleta:CO","ARCHULETA COUNTY",3,69.63
"Arkansas:AR","CITY OF DEWITT",1,0
"Arkansas:AR","CITY OF STUTTGART",1,25
"Aroostook:ME","AROOSTOOK COUNTY",1,0.31
"Aroostook:ME","CITY OF PRESQUE ISLE",2,68.61
"Aroostook:ME","NORTHERN KATAHDIN VALLEY WASTE DISPOSAL DISTRICT",1,11.79
"Aroostook:ME","TOWN OF ALLAGASH",1,12.5
"Aroostook:ME","TOWN OF ASHLAND",1,11.55
"Aroostook:ME","TOWN OF BRIDGEWATER",1,3.3
"Aroostook:ME","TOWN OF EAGLE LAKE",1,4.71
"Aroostook:ME","TOWN OF FRENCHVILLE",1,57.42
"Aroostook:ME","TOWN OF GRAND ISLE",1,16.78
"Aroostook:ME","TOWN OF LITTLETON",1,5.35
"Aroostook:ME","TOWN OF MARS HILL",1,41.49
"Aroostook:ME","TOWN OF MONTICELLO",1,2.04
"Aroostook:ME","TOWN OF OAKFIELD",1,2.24
"Aroostook:ME","TOWN OF ORIENT",1,3.22
"Aroostook:ME","TOWN OF PORTAGE LAKE",1,17.09
"Aroostook:ME","TOWN OF SAINT FRANCIS",1,0.93
"Aroostook:ME","TOWN OF SHERMAN",1,18.21
"Aroostook:ME","TOWN OF VAN BUREN",1,4.97
"Aroostook:ME","TRI COMMUNITY RECYCLING&SANITARY LANDFILL",1,249.17
"Ascension:LA","REPUB",1,1119.37
"Ashe:NC","ASHE COUNTY",1,57.39
"Asheville-Marion-Brevard, NC CSA","ASHEVILLE WASTE PAPER",1,12.5
"Asheville-Marion-Brevard, NC CSA","BUNCOMBE COUNTY",2,654.81
"Asheville-Marion-Brevard, NC CSA","HANDLE SAFE SYSTEMS",1,0.68
"Asheville-Marion-Brevard, NC CSA","HAYWOOD COUNTY",1,43.02
"Asheville-Marion-Brevard, NC CSA","HENDERSON COUNTY",2,326.67
"Asheville-Marion-Brevard, NC CSA","MADISON COUNTY",2,40.15
"Asheville-Marion-Brevard, NC CSA","MCDOWELL COUNTY",1,125.64
"Asheville-Marion-Brevard, NC CSA","SANTK",1,681.81
"Asheville-Marion-Brevard, NC CSA","TRANSYLVANIA COUNTY",1,83.08
"Asheville-Marion-Brevard, NC CSA","WM",1,440.12
"Ashland:WI","EAGLE WASTE AND RECYCLING",1,12.5
"Ashland:WI","TOWN OF LA POINTE",1,12.5
"Ashley:AR","ASHLEY COUNTY",1,47.13
"Ashley:AR","ASHLEY COUNTY RECOVERY FACILITY",1,0
"Asotin:WA","ASOTIN COUNTY",1,66.73
"Atchison:MO","WCNX",1,21.38
"Athens:OH","ATHENS HOCKING RECYCLING CENTER",2,126
"Athens:OH","KILBARGER CONSTRUCTION",1,687.69
"Atkinson:GA","ATKINSON COUNTY",1,366.81
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","211 WASTE DISPOSAL",1,63
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","ABSOLUTE ENVIRONMENTAL",1,0
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","AIGH",11,5245.94
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","AMERISOUTH RECYCLING",1,63
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","ATHENS CLARKE COUNTY SOLID WASTE DEPARTMENT",2,257.89
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","BARTOW COUNTY",2,616.03
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","CARAU",1,300
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","CARROLL COUNTY",1,200
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","CARTER'S ROYAL DISPOS ALL",1,63
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","CHEROKEE COUNTY",1,25
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","CITY OF COVINGTON",1,12.5
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","CITY OF GRIFFIN",1,150
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","CITY OF LA GRANGE",1,416.54
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","CITY OF MONROE",1,12.5
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","CITY OF ROSWELL",2,75.5
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","CLAYTON COUNTY",2,42.23
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","COWETA COUNTY",1,100
