"","0","1","2","3","4","5","6","7","8","9","10+","Sum"
"0",0,24,5,1,1,0,0,0,0,0,0,31
"1",38,8,2,1,0,1,0,0,0,0,0,51
"2",3,2,1,1,0,0,0,0,0,0,0,7
"3",1,0,0,0,0,0,0,0,0,0,0,3
"4",0,0,0,0,0,0,0,0,0,0,0,1
"5",0,0,0,0,0,0,0,0,0,0,0,1
"6",0,0,0,0,0,0,0,0,0,0,0,1
"7",0,0,0,0,0,0,0,0,0,0,0,1
"8",0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,1
"10+",0,0,0,0,0,0,0,0,0,0,1,2
"Sum",43,36,9,4,2,2,1,1,0,0,3,100
